ScanTime,CowTag,InOrOut,Tray(IfApplicable)
2025-01-27 02:59:46,000000000840003209882123,In,0
2025-01-27 02:59:51,000000000840003209882123,Out,0
2025-01-27 03:00:02,000000000840003209882123,In,0
2025-01-27 03:00:30,000000000840003209882123,Out,0
2025-01-27 03:01:30,000000000840003209882123,Out,0
2025-01-27 03:08:42,000000000840003209882031,In,0
2025-01-27 03:08:54,000000000840003209882031,Out,0
2025-01-27 03:09:18,000000000840003229291770,In,0
2025-01-27 03:09:25,000000000840003229291770,Out,0
2025-01-27 03:10:25,000000000840003229291770,Out,0
2025-01-27 03:10:49,000000000840003267804613,In,0
2025-01-27 03:10:57,000000000840003267804613,Out,0
2025-01-27 03:11:00,000000000840003267804613,In,0
2025-01-27 03:11:04,000000000840003267804613,Out,0
2025-01-27 03:11:08,000000000840003267804613,In,0
2025-01-27 03:11:14,000000000840003267804613,Out,0
2025-01-27 03:11:41,000000000840003267804613,In,0
2025-01-27 03:11:53,000000000840003267804613,Out,0
2025-01-27 03:12:31,000000000840003267804613,In,0
2025-01-27 03:12:37,000000000840003267804613,Out,0
2025-01-27 03:12:48,000000000840003267804613,In,0
2025-01-27 03:12:54,000000000840003267804613,Out,0
2025-01-27 03:13:22,000000000840003267804613,In,0
2025-01-27 03:13:26,000000000840003267804613,Out,0
2025-01-27 03:13:55,000000000840003267804592,In,0
2025-01-27 03:14:07,000000000840003267804592,Out,0
2025-01-27 03:14:12,000000000840003267804592,In,0
2025-01-27 03:14:18,000000000840003267804592,Out,0
2025-01-27 03:15:18,000000000840003267804592,Out,0
2025-01-27 03:18:11,000000000840003267804607,In,0
2025-01-27 03:18:19,000000000840003267804607,Out,0
2025-01-27 03:19:19,000000000840003267804607,Out,0
2025-01-27 03:21:32,000000000840003209882140,In,0
2025-01-27 03:21:56,000000000840003209882140,Out,0
2025-01-27 03:22:56,000000000840003209882140,Out,0
2025-01-27 03:23:26,000000000840003267804597,In,0
2025-01-27 03:23:34,000000000840003267804597,Out,0
2025-01-27 03:24:36,000000000840003267804597,Out,0
2025-01-27 03:27:23,000000000840003267804593,In,0
2025-01-27 03:27:35,000000000840003267804593,Out,0
2025-01-27 03:27:35,000000000840003267804593,In,0
2025-01-27 03:27:41,000000000840003267804593,Out,0
2025-01-27 03:27:45,000000000840003267804593,In,0
2025-01-27 03:27:56,000000000840003267804593,Out,0
2025-01-27 03:28:07,000000000840003267804593,In,0
2025-01-27 03:28:15,000000000840003267804593,Out,0
2025-01-27 03:29:02,000000000840003267804593,In,0
2025-01-27 03:29:08,000000000840003267804593,Out,0
2025-01-27 03:29:12,000000000840003267804593,In,0
2025-01-27 03:29:30,000000000840003267804593,Out,0
2025-01-27 03:29:35,000000000840003267804593,In,0
2025-01-27 03:29:43,000000000840003267804593,Out,0
2025-01-27 03:30:18,000000000840003209882141,In,0
2025-01-27 03:30:31,000000000840003209882141,Out,0
2025-01-27 03:31:31,000000000840003209882141,Out,0
2025-01-27 03:38:54,000000000840003267804606,In,0
2025-01-27 03:39:00,000000000840003267804606,Out,0
2025-01-27 03:39:03,000000000840003267804606,In,0
2025-01-27 03:39:12,000000000840003267804606,Out,0
2025-01-27 03:39:34,000000000840003267804606,In,0
2025-01-27 03:39:39,000000000840003267804606,Out,0
2025-01-27 03:40:15,000000000840003267804606,In,0
2025-01-27 03:40:21,000000000840003267804606,Out,0
2025-01-27 03:41:21,000000000840003267804606,Out,0
2025-01-27 03:52:45,000000000840003209882123,In,0
2025-01-27 03:52:49,000000000840003209882123,Out,0
2025-01-27 03:54:10,000000000840003209882123,Out,0
2025-01-27 03:56:51,000000000840003267804600,In,0
2025-01-27 03:57:00,000000000840003267804600,Out,0
2025-01-27 03:57:04,000000000840003267804600,In,0
2025-01-27 03:57:08,000000000840003267804600,Out,0
2025-01-27 03:57:24,000000000840003220323494,In,0
2025-01-27 03:57:33,000000000840003220323494,Out,0
2025-01-27 03:57:59,000000000840003220323494,In,0
2025-01-27 03:58:11,000000000840003220323494,Out,0
2025-01-27 03:58:13,000000000840003220323494,In,0
2025-01-27 03:58:17,000000000840003220323494,Out,0
2025-01-27 03:59:17,000000000840003220323494,Out,0
2025-01-27 03:59:26,000000000840003267804613,In,0
2025-01-27 03:59:33,000000000840003267804613,Out,0
2025-01-27 04:00:03,000000000840003267804613,In,0
2025-01-27 04:00:09,000000000840003267804613,Out,0
2025-01-27 04:00:15,000000000840003267804613,In,0
2025-01-27 04:00:19,000000000840003267804613,Out,0
2025-01-27 04:01:41,000000000840003267804613,Out,0
2025-01-27 04:06:57,000000000840003267804616,In,0
2025-01-27 04:07:01,000000000840003267804616,Out,0
2025-01-27 04:07:01,000000000840003267804616,In,0
2025-01-27 04:07:06,000000000840003267804616,Out,0
2025-01-27 04:07:08,000000000840003267804616,In,0
2025-01-27 04:07:12,000000000840003267804616,Out,0
